dataset,model,acc,auroc,brier,ece
hotpot-eval-em,RLCR-hotpot-Qwen2_5-3B-Instruct-std,0.402,0.7993394232849133,0.22354050600059605,0.2138939999970197
hotpot-eval-em,SMCR-hotpot-Qwen2_5-3B-Instruct,0.424,0.7888004454926625,0.18610500000000002,0.05009999999999997
hotpot-eval-em,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier,0.334,0.7844581108054162,0.17487,0.03060000000000006
hotpot-eval-em,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier-std,0.328,0.8069468641114983,0.21214680002,0.19063979999999997
hotpot-eval-em,SMCR-hotpot-Qwen2_5-3B-Instruct-scale-weight,0.424,0.784386464884696,0.18588000000000002,0.02560000000000007
hotpot-eval-em,SMCR-hotpot-Qwen2_5-3B-Instruct-std,0.432,0.792017149191445,0.24508937401999997,0.23256580000000002
hotpot-vanilla-eval-em,Qwen2.5-3B-Instruct,0.459,0.5598383530861513,0.5002526,0.50314
hotpot-vanilla-eval-em,Qwen2.5-7B-Instruct,0.449,0.5235308145950468,0.5431775,0.5461500000000001
hotpot-vanilla-eval-em,RLCR-hotpot-Qwen2_5-3B-Instruct-std,0.586,0.6282604573708596,0.31509627800000006,0.29757200000000006
hotpot-vanilla-eval-em,RLCR-math-Qwen2_5-3B-Instruct,0.491,0.6336493023739693,0.23840679999999997,0.04312000000000005
hotpot-vanilla-eval-em,RLCR-math-Qwen2_5-3B-Instruct-std,0.448,0.6757590094461697,0.29450012222222227,0.25001
hotpot-vanilla-eval-em,SMCR-hotpot-Qwen2_5-3B-Instruct,0.586,0.6389507180425713,0.2344575,0.06254999999999997
hotpot-vanilla-eval-em,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier,0.486,0.6449416342412452,0.24280249999999998,0.09255000000000005
hotpot-vanilla-eval-em,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier-std,0.481,0.6814299848981928,0.3126195,0.28549000000000013
hotpot-vanilla-eval-em,SMCR-hotpot-Qwen2_5-3B-Instruct-scale-weight,0.592,0.6451398549284578,0.23636500000000002,0.08880000000000003
hotpot-vanilla-eval-em,SMCR-hotpot-Qwen2_5-3B-Instruct-std,0.607,0.6532334804716811,0.29614844201,0.26719190000000004
hotpot-vanilla-eval-em,SMCR-math-Qwen2_5-3B-Instruct,0.423,0.5844098643427528,0.35516019400000004,0.3468059999999999
